CDISC SEND Rule ID,Class,Domain,Variable,Plain Text Explanation of Condition/Rule,Condition,Rule,Cited Document,Cited Document Section,Cited Item,Cited Guidance,Release Notes
160.1,REL,SUPPMA,"QNAM, QLABEL, QVAL",Modifiers of the base observation in MASTRESC should be included within Supplemental Qualifiers,Modifiers exist in MAORRES,"SUPP-- exists with QNAM = --RESMOD AND QLABEL = ""Result Modifiers"" AND QVAL ^=null",SENDIG v3.1,6.3.7.1,Assumption 5.b.i,Modifiers of the base gross pathological observation (in MASTRESC) should be included within Supplemental Qualifiers,Versioned to reflect cited guidance change. Split to SEND Rule 284.
NEW SEND RULE 284,REL, SUPPMI,"QNAM, QLABEL, QVAL","Modifiers of the base observation in MISTRESC should be included within Supplemental Qualifiers unless the modifiers have been included in MISEV, MIDISTR, and MICHRON.","Modifier exists in MIORRES AND modifier is not represented in MISEV, MIDISTR, or MICHRON","SUPP-- exists with QNAM = --RESMOD AND QLABEL = ""Result Modifiers"" AND QVAL ^=null",SENDIG v3.1,6.3.8.1,Assumption 4.e,"The Supplemental Qualifier MIRESMOD is used to further qualify the finding recorded in MISTRESC. MIRESMOD must be populated if one or more modifiers were part of the result in MIORRES and not otherwise reported in the modifier variables part of the MI domain structure (e.g., MISEV, MIDISTR, and MICHRON).","Split from SEND Rule 160, new cited guidance."
270,"INT, EVT, FND",ALL,ALL,Naming and use of variables must be consistent with the definition of the variable in the SDTM.,Variable is present in a domain.,Variable Name matches SDTM v1.2 AND use is consistent with SDTM v1.2 definition,SENDIG v3.0,2.3,Text,"New variables (other than those that are from the same general observation class) must not be added, and existing variables must not be renamed or modified for novel usage.",
270.1,"INT, EVT, FND",ALL,ALL,Naming and use of variables must be consistent with the definition of the variable in the SDTM.,Variable is present in a domain.,Variable Name matches SDTM v1.5 AND use is consistent with SDTM v1.5 definition,SENDIG v3.1,2.3,Text,"New variables (other than those from the same general observation class) must not be added, and existing variables must not be renamed or modified for novel usage.",Versioned to reflect cited guidance change. 
NEW SEND RULE 321,FND,MI,MISTRESC,Neoplastic findings must be populated using the NEOPLASM controlled list (as extended when applicable).,MIORRES contains a neoplastic finding,MISTRESC populated using NEOPLASM controlled list,SENDIG v3.1,6.3.8,MISTRESC CDISC Notes,Neoplastic findings must be populated using the NEOPLASM controlled list.,New rule identified from cited guidance.
166,FND,DD,ALL,No records will be present for subjects where a cause of death was not collected.,Cause of death was not collected,No record should exist for that subject,SENDIG v3.0,6.3.4.1,Assumption 2,No records will be present for subjects where a cause of death was not collected.,
166,FND,DD,ALL,No records will be present for subjects where a cause of death was not collected.,Cause of death was not collected,No record should exist for that subject,SENDIG v3.1,6.3.4.1,Assumption 2,No records will be present for subjects where a cause of death was not collected.,
216,TDM,TE,"ETCD, ELEMENT","No two Elements can have the same combination of values for ELEMENT, TESTRL, and TEENRL or TEDUR.  Additional factors beyond treatment and start/end rule do not distinguish separate Elements.",,"Each record must have a unique combination of values for ELEMENT, TESTRL, and (TEENRL OR TEDUR)",SENDIG v3.0,7.2.1.1,Assumption 2 | Assumption 3,"Elements with different start and end rules are different Elements and must be represented as unique values in ELEMENT and ETCD (i.e., Elements involving the same treatment but different durations are different Elements). The same applies to nontreatment Elements (e.g., a washout with a fixed duration of 14 days is different from a washout which ends after 7 days if drug cannot be detected in a blood sample or after 14 days if drug can be detected in a blood sample).  Additional factors beyond treatment and start/end rule do not distinguish separate Elements.",
216,TDM,TE,"ETCD, ELEMENT","No two Elements can have the same combination of values for ELEMENT, TESTRL, and TEENRL or TEDUR.  Additional factors beyond treatment and start/end rule do not distinguish separate Elements.",,"Each record must have a unique combination of values for ELEMENT, TESTRL, and (TEENRL OR TEDUR)",SENDIG v3.1,7.2.1.1,Assumption 2 | Assumption 4,"Elements with different start and end rules are different Elements and must be represented as unique values in ELEMENT and ETCD (i.e., Elements involving the same treatment but different durations are different Elements). The same applies to nontreatment Elements (e.g., a washout with a fixed duration of 14 days is different from a washout that ends after 7 days if drug cannot be detected in a blood sample or after 14 days if drug can be detected in a blood sample)....Additional factors beyond treatment, start rule, and either end rule or duration do not distinguish separate Elements.",Cited guidance reference updated; no implementation impact.
NEW SEND RULE 318,"EVT, FND",ALL,--NOMDY,--NOMDY should be populated with an integer,,NOMDY is an integer,SENDIG v3.1,6.2.1.1,DSNOMDY CDISC Notes,Should be an integer.,New rule identified from cited guidance.
NEW SEND RULE 322,FND,MI,MISTRESC,Nonneoplastic findings must be populated using the NONNEO controlled list (as extended when applicable).,MIORRES contains a nonneoplastic finding,MISTRESC populated using NONNEO controlled list,SENDIG v3.1,6.3.8,MISTRESC CDISC Notes,"The base pathological process from MIORRES should be mapped to a synonymous term from the controlled list, NONNEO, where possible.",New rule identified from cited guidance.
199,FND,SC,ALL,One record per characteristic per subject,,One record per characteristic per subject,SENDIG v3.0,6.3.13,Domain Table Header,"sc.xpt, Subject Characteristics - Findings. One record per characteristic per subject, Tabulation.",
199,FND,SC,ALL,One record per characteristic per subject,,One record per characteristic per subject,SENDIG v3.1,6.3.13,Domain Table Header,"sc.xpt, Subject Characteristics - Findings. One record per characteristic per subject, Tabulation.",
131.1,INT,EX,ALL,One record per constant dosing interval per subject or pool per treatment per administration site (if identified in FOCID) , ,One record per constant dosing interval per subject or pool per treatment per administration site (if identified in FOCID) ,SENDIG v3.1,6.1.1 | 6.1.1.1,Domain Table Header |Assumption 1.b,"ex.xpt, Exposure - Interventions. One record per constant dosing interval per treatment per subject or pool, Tabulation.  This domain should contain one record per constant dosing interval per subject per administration site (as identified in FOCID). A constant dosing interval is sponsor defined and represents a specific period of time during which a subject was treated with a specific lot at a constant dose level.",Versioned to reflect cited guidance change. 
131,INT,EX,ALL,One record per constant dosing interval per treatment per subject or pool,,One record per constant dosing interval per treatment per subject or pool,SENDIG v3.0,6.1.1 | 6.1.1.1,Domain Table Header |Assumption 1.b,"ex.xpt, Exposure - Interventions. One record per constant dosing interval per treatment per subject or pool, Tabulation.; This domain should contain one record per constant dosing interval per subject. A constant dosing interval is sponsor-defined and represents a specific period of time during which an animal was treated with a specific lot at a constant dose level.",
163,FND,DD,ALL,One record per diagnosis per subject (for unscheduled deaths only),,One record per diagnosis per subject (for unscheduled deaths only),SENDIG v3.0,6.3.4,Domain Table Header,"dd.xpt, Death Diagnosis - Findings. One record per diagnosis per subject (for unscheduled deaths only), Tabulation",
163,FND,DD,ALL,One record per diagnosis per subject (for unscheduled deaths only),,One record per diagnosis per subject (for unscheduled deaths only),SENDIG v3.1,6.3.4,Domain Table Header,"dd.xpt, Death Diagnosis and Details - Findings. One record per diagnosis per subject (for unscheduled deaths only), Tabulation",Cited guidance reference updated; no implementation impact.
156,FND,CL,ALL,One record per finding per observation time per subject or pool.,,One record per finding per observation time per subject or pool.,SENDIG v3.0,6.3.3,Domain Table Header,One record per finding per observation time per subject or pool.,
156,FND,CL,ALL,One record per finding per observation time per subject or pool.,,One record per finding per observation time per subject or pool.,SENDIG v3.1,6.3.3,Domain Table Header,"cl.xpt, Clinical Observations - Findings. One record per finding per observation time per subject or pool, Tabulation.",Cited guidance reference updated; no implementation impact.
175,FND,MA,ALL,One record per finding per specimen per subject,,One record per finding per specimen per subject,SENDIG v3.0,6.3.7,Domain Table Header,"ma.xpt, Macroscopic Findings - Findings. One record per finding per specimen per subject, Tabulation.",
175,FND,MA,ALL,One record per finding per specimen per subject,,One record per finding per specimen per subject,SENDIG v3.1,6.3.7,Domain Table Header,"ma.xpt, Macroscopic Findings - Findings. One record per finding per specimen per subject, Tabulation.",
180,FND,MI,ALL,One record per finding per specimen per subject,,One record per finding per specimen per subject,SENDIG v3.0,6.3.8,Domain Table Header,"mi.xpt, Microscopic Findings - Findings. One record per finding per specimen per subject, Tabulation.",
180,FND,MI,ALL,One record per finding per specimen per subject,,One record per finding per specimen per subject,SENDIG v3.1,6.3.8,Domain Table Header,"mi.xpt, Microscopic Findings - Findings. One record per finding per specimen per subject, Tabulation.",
254,REL,SUPP,"IDVAR, IDVARVAL, RDOMAIN, USUBJID, POOLID, QNAM","One record per IDVAR, IDVARVAL, and QNAM value per subject (or pool) per related domain","IDVAR, IDVARVAL, RDOMAIN, and USUBJID (or POOLID) are the same",There should only be one record in a SUPP-- dataset with the same QNAM value,SENDIG v3.0,8.5,Domain Table Header,"SUPP--.xpt, Supplemental Qualifiers for (domain name) - Relationship Datasets. One record per IDVAR, IDVARVAL, and QNAM value per subject per related domain, Tabulation",
206,FND,VS,ALL,One record per measurement per observation time per subject,,One record per measurement per observation time per subject,SENDIG v3.0,6.3.15,Domain Table Header,"vs.xpt, Vital Signs - Findings. One record per measurement per observation time per subject, Tabulation.",
206,FND,VS,ALL,One record per measurement per observation time per subject,,One record per measurement per observation time per subject,SENDIG v3.1,6.3.15,Domain Table Header,"vs.xpt, Vital Signs - Findings. One record per measurement per observation time per subject, Tabulation.",
195.1,FND,PP,ALL,"One record per pharmacokinetic parameter per time-concentration profile per specimen per subject or pool, Tabulation.",,"One record per pharmacokinetic parameter per time-concentration profile per specimen per subject or pool, Tabulation.",SENDIG v3.1,6.3.12,Domain Table Header,"pp.xpt, Pharmacokinetics Parameters - Findings. One record per pharmacokinetic parameter per time-concentration profile per specimen per subject or pool, Tabulation.",Versioned to reflect cited guidance change. 
195,FND,PP,ALL,One record per pharmacokinetic parameter per time-concentration profile per specimen per subject or pool.,,One record per pharmacokinetic parameter per time-concentration profile per specimen per subject or pool,SENDIG v3.0,6.3.12,Domain Table Header,"pp.xpt, Pharmacokinetics Parameters - Findings. One record per pharmacokinetic parameter per time-concentration profile per specimen per subject, Tabulation.",
212,TDM,TE,ALL,One record per planned Element,,One record per planned Element,SENDIG v3.0,7.2.1,Domain Table Header,"te.xpt, Trial Elements - Trial Design. One record per planned Element, Tabulation.",
212,TDM,TE,ALL,One record per planned Element,,One record per planned Element,SENDIG v3.1,7.2.1,Domain Table Header,"te.xpt, Trial Elements - Trial Design. One record per planned Element, Tabulation.",
220,TDM,TA,ALL,One record per planned Element per Arm,,One record per planned Element per Arm,SENDIG v3.0,7.3.1,Domain Table Header,"ta.xpt, Trial Arms - Trial Design. One record per planned Element per Arm, Tabulation.",
220,TDM,TA,ALL,One record per planned Element per Arm,,One record per planned Element per Arm,SENDIG v3.1,7.3.1,Domain Table Header,"ta.xpt, Trial Arms - Trial Design. One record per planned Element per Arm, Tabulation.",
252,REL,RELREC,ALL,"One record per related record, related group of records (e.g. --GRPID), or related dataset.",,"One record per related record, related group of records (e.g. --GRPID), or related dataset, Tabulation",SENDIG v3.0,8.3.1,Domain Table Header,"relrec.xpt, Related Records - Relationship Datasets. One record per related record, related group of records (e.g. --GRPID), or related dataset, Tabulation.",
252.1,REL,RELREC,ALL,"One record per related record, related group of records, or related domain.",,"One record per related record, related group of records, or related domain",SENDIG v3.1,8.2,Domain Table Header,"relrec.xpt, Related Records - Relationship Datasets. One record per related record, related group of records, or related domain, Tabulation.",Versioned to reflect cited guidance change. 
97,SPC,DM,ALL,One record per subject,Domain = DM,One record per subject,SENDIG v3.0,5.1.1,Domain Table Header,"dm.xpt, Demographics - Special-Purpose Domains. One record per subject, Tabulation.",
97,SPC,DM,ALL,One record per subject,Domain = DM,One record per subject,SENDIG v3.1,5.1.1,Domain Table Header,"dm.xpt, Demographics - Special-Purpose Domains. One record per subject, Tabulation.",
262,REL,POOLDEF,POOLID,One record per subject per pool,,One record per subject per pool,SENDIG v3.0,8.7.1,Domain Table Header,"pooldef.xpt, Pooled Definition - Relationship Datasets. One record per subject per pool, Tabulation.",
254.1,REL,SUPP--,QNAM,"One record per supplemental qualifier per related parent domain record(s), Tabulation.","IDVAR, IDVARVAL, RDOMAIN, and USUBJID (or POOLID) are the same",There should only be one record in a SUPP-- dataset with the same QNAM value,SENDIG v3.1,8.3,Domain Table Header,"supp--.xpt, Supplemental Qualifiers for (domain name) - Relationship Datasets. One record per supplemental qualifier per related parent domain record(s), Tabulation.",Versioned to reflect cited guidance change. 
208.1,FND,EG,ALL,"One record per test per ECG reference per observation time per subject, Tabulation.",,"One record per test per ECG reference per observation time per subject, Tabulation.",SENDIG v3.1,6.3.16,Domain Table Header,"eg.xpt, ECG - Findings. One record per test per ECG reference per observation time per subject, Tabulation.",Versioned to reflect cited guidance change. 
150,FND,BG,ALL,One record per test per interval per subject,,One record per test per interval per subject,SENDIG v3.0,6.3.2,Domain Table Header,"bg.xpt, Body Weight Gains - Findings. One record per test per interval per subject, Tabulation.",
150,FND,BG,ALL,One record per test per interval per subject,,One record per test per interval per subject,SENDIG v3.1,6.3.2,Domain Table Header,"bg.xpt, Body Weight Gains - Findings. One record per test per interval per subject, Tabulation.",
168,FND,FW,ALL,One record per test per interval per subject or pool,,One record per test per interval per subject or pool,SENDIG v3.0,6.3.5,Domain Table Header,"fw.xpt, Food and Water Consumption - Findings. One record per test per interval per subject or pool, Tabulation.",
168,FND,FW,ALL,One record per test per interval per subject or pool,,One record per test per interval per subject or pool,SENDIG v3.1,6.3.5,Domain Table Header,"fw.xpt, Food and Water Consumption - Findings. One record per test per interval per subject or pool, Tabulation.",
142,FND,BW,ALL,One record per test per observation time per subject,,One record per test per observation time per subject,SENDIG v3.0,6.3.1,Domain Table Header,"bw.xpt, Body Weight - Findings. One record per test per observation time per subject, Tabulation.",
142,FND,BW,ALL,One record per test per observation time per subject,,One record per test per observation time per subject,SENDIG v3.1,6.3.1,Domain Table Header,"bw.xpt, Body Weight - Findings. One record per test per observation time per subject, Tabulation.",
208,FND,EG,ALL,One record per test per observation time per subject,,One record per test per observation time per subject,SENDIG v3.0,6.3.16,Domain Table Header,"eg.xpt, ECG - Findings. One record per test per observation time per subject, Tabulation.",
191,FND,PM,ALL,One record per test per palpable mass per observation time per subject,,One record per test per palpable mass per observation time per subject,SENDIG v3.0,6.3.10,Domain Table Header,"pm.xpt, Palpable Masses - Findings. One record per test per palpable mass per observation time per subject, Tabulation.",
191,FND,PM,ALL,One record per test per palpable mass per observation time per subject,,One record per test per palpable mass per observation time per subject,SENDIG v3.1,6.3.10,Domain Table Header,"pm.xpt, Palpable Masses - Findings. One record per test per palpable mass per observation time per subject, Tabulation.",
192,FND,PC,ALL,One record per test per specimen per observation time per subject or pool,,One record per test per specimen per observation time per subject or pool,SENDIG v3.0,6.3.11,Domain Table Header,"pc.xpt, Pharmacokinetic Concentrations - Findings. One record per test per specimen per observation time per subject or pool, Tabulation.",
192,FND,PC,ALL,One record per test per specimen per observation time per subject or pool,,One record per test per specimen per observation time per subject or pool,SENDIG v3.1,6.3.11,Domain Table Header,"pc.xpt, Pharmacokinetic Concentrations - Findings. One record per test per specimen per observation time per subject or pool, Tabulation.",
169,FND,LB,ALL,One record per test per specimen per observation time per subject or pool.,,One record per test per specimen per observation time per subject or pool.,SENDIG v3.0,6.3.6,Domain Table Header,"lb.xpt, Laboratory - Findings. One record per test per specimen per observation time per subject or pool, Tabulation.",
169,FND,LB,ALL,One record per test per specimen per observation time per subject or pool.,,One record per test per specimen per observation time per subject or pool.,SENDIG v3.1,6.3.6,Domain Table Header,"lb.xpt, Laboratory - Findings. One record per test per specimen per observation time per subject or pool, Tabulation.",
188,FND,OM,ALL,One record per test per specimen per subject,,One record per test per specimen per subject,SENDIG v3.0,6.3.9,Domain Table Header,"om.xpt, Organ Measurements - Findings. One record per test per specimen per subject, Tabulation.",
188,FND,OM,ALL,One record per test per specimen per subject,,One record per test per specimen per subject,SENDIG v3.1,6.3.9,Domain Table Header,"om.xpt, Organ Measurements - Findings. One record per test per specimen per subject, Tabulation.",
230,TDM,TX,ALL,One record per Trial Set parameter per Trial Set,,One record per Trial Set parameter per Trial Set,SENDIG v3.0,7.4.1,Domain Table Header,"tx.xpt, Trial Sets - Trial Design. One record per Trial Set parameter per Trial Set, Tabulation.",
230,TDM,TX,ALL,One record per Trial Set parameter per Trial Set,,One record per Trial Set parameter per Trial Set,SENDIG v3.1,7.4.1,Domain Table Header,"tx.xpt, Trial Sets - Trial Design. One record per Trial Set parameter per Trial Set, Tabulation.",
245,TDM,TS,ALL,One record per Trial Summary parameter value,,One record per Trial Summary parameter value,SENDIG v3.0,7.6.1,Domain Table Header,"ts.xpt, Trial Summary - Trial Design. One record per Trial Summary parameter value, Tabulation.",
245,TDM,TS,ALL,One record per Trial Summary parameter value,,One record per Trial Summary parameter value,SENDIG v3.1,7.6.1,Domain Table Header,"ts.xpt, Trial Summary - Trial Design. One record per Trial Summary parameter value, Tabulation.",
200,FND,TF,ALL,One record per tumor per specimen per subject,,One record per tumor per specimen per subject,SENDIG v3.0,6.3.14,Domain Table Header,"tf.xpt, Tumor Findings - Findings. One record per tumor per specimen per subject, Tabulation.",
200,FND,TF,ALL,One record per tumor per specimen per subject,,One record per tumor per specimen per subject,SENDIG v3.1,6.3.14,Domain Table Header,"tf.xpt, Tumor Findings - Findings. One record per tumor per specimen per subject, Tabulation.",
NEW SEND RULE 341,TDM,TS,TSPARMCD,Only a single record for TSPARM SEND Implementation Guide Version should exist.,,Only one record with TSPARMCD = SNDIGVER exists  ,SENDIG v3.1,7.6.3,SNDIGVER CDISC Notes,The SEND Implementation Guide version used for the submission containing this dataset. Only a single record should be provided in the Trial Summary dataset.,New rule identified from cited guidance.
114,SPC,CO,ALL,Only one record should exist per comment.,,One record per comment,SENDIG v3.0,5.2.1,Domain Table Header,"co.xpt, Comments - Special Purpose Domains, One record per comment, Tabulation",
114,SPC,CO,ALL,Only one record should exist per comment.,,One record per comment,SENDIG v3.1,5.2.1,Domain Table Header,"co.xpt, Comments - Special Purpose Domains, One record per comment, Tabulation",
135,INT,EX,ALL,Only treatments specified in the protocol are populated in EX.,,EX contains only protocol-specified treatments.,SENDIG v3.0,6.1.1.1,Assumption 1.a,Only protocol-specified treatments should be included in this domain.,
135,INT,EX,ALL,Only treatments specified in the protocol are populated in EX.,,EX contains only protocol-specified treatments.,SENDIG v3.1,6.1.1.1,Assumption 1.a,Only protocol-specified treatments should be included in this domain.,
190.1,FND,OM,OMSTRESU,Organ weight measurement ratios should be presented as pure ratios (“RATIO”) or percentages (unit = %). Ratios and percentages should not be mixed.,OMTEST represents an organ weight measurement ratio,OMSTRESU = “RATIO” OR OMSTRESU = %,SENDIG v3.1,6.3.9.1,Assumption 3,Organ measurement ratios within a single test or measurement should either be pure ratios with the unit shown as “RATIO” or percentages with unit shown as “%.”,Versioned to reflect cited guidance change. 
190,FND,OM,OMSTRESU,Organ weight measurement ratios should be presented as pure ratios (no units) or percentages (unit = %). Ratios and percentages should not be mixed.,OMTEST represents an organ weight measurement ratio,OMSTRESU = null OR OMSTRESU = %,SENDIG v3.0,6.3.9.1,Assumption 3,"Organ measurement ratios within a single study should either be pure ratios with no units specified or percentages with unit shown as ""%"". It is strongly recommended that pure ratios and percentages should not be mixed.",
193,FND,PC,PCLLOQ,PCLLOQ should be presented using the same units as those presented in PCSTRESU.,,Unit for PCLLOQ = PCSTRESU,SENDIG v3.0,6.3.11,PCLLOQ CDISC Notes,PCLLOQ: Units should be those used in PCSTRESU.,
193,FND,PC,PCLLOQ,PCLLOQ should be presented using the same units as those presented in PCSTRESU.,,Unit for PCLLOQ = PCSTRESU,SENDIG v3.1,6.3.11,PCLLOQ CDISC Notes,Units should be those used in PCSTRESU.,
NEW SEND RULE 335,FND,PM,PMSTRESC,PMSTRESC should contain the finding without the location.,PMORRES ^= null,PMSTRESC contains the finding and does not contain the location,SENDIG v3.0,6.3.10.1,Assumption 2.b,PMSTRESC should contain the finding without the location specified in PMLOC.,Replaces SEND RULE 159 for the PM domain
NEW SEND RULE 335,FND,PM,PMSTRESC,PMSTRESC should contain the finding without the location.,PMORRES ^= null,PMSTRESC contains the finding and does not contain the location,SENDIG v3.1,6.3.10.1,Assumption 2.b,PMSTRESC should contain the finding without the location specified in PMLOC.,Replaces SEND RULE 159 for the PM domain
196,FND,PP,PPCAT,PPCAT is the name of the analyte in PCTEST whose profile the parameter is associated with.,,PPCAT is the name of the analyte in PCTEST whose profile the parameter is associated with.,SENDIG v3.0,6.3.12,PPCAT CDISC NOTES,"PPCAT: Used to define a category of related records. For PP, this should be the
name of the analyte in PPTEST (PCTEST as corrected in SENDIGv3.1) whose profile the parameter is associated with.",
196,FND,PP,PPCAT,PPCAT is the name of the analyte in PCTEST whose profile the parameter is associated with.,,PPCAT is the name of the analyte in PCTEST whose profile the parameter is associated with.,SENDIG v3.1,6.3.12,PPCAT CDISC NOTES,Used to define a category of parameters associated with a specific analyte. This must be the analyte in PCTEST whose profile the parameter is associated with.,Cited guidance reference updated; no implementation impact.
256,REL,SUPP--,QEVAL,QEVAL is null for records that contain objectively collected or derived data.,Records that contain objectively collected or derived data,QEVAL = null,SENDIG v3.0,8.5,QEVAL CDISC Notes,"QEVAL: Used only for results that are subjective (i.e., assigned by a person or a group). Should be null for records that contain objectively collected or derived data. Some examples include PATHOLOGIST or VETERINARIAN, etc.",
256,REL,SUPP--,QEVAL,QEVAL is null for records that contain objectively collected or derived data.,Records that contain objectively collected or derived data,QEVAL = null,SENDIG v3.1,8.3,QEVAL CDISC Notes,"Used only for results that are subjective (i.e., assigned by a person or a group). Should be null for records that contain objectively collected or derived data. Some examples include PATHOLOGIST or VETERINARIAN, etc.",Cited guidance reference updated; no implementation impact.
274,SPC,SUPP--,QNAM,QNAM name cannot be the same as a variable name in the parent domain,,QNAM cannot be the same as a variable name in the parent domain ,SENDIG v3.0,8.5,QNAM CDISC Notes,The value in QNAM may not be the same as any variable name defined in another domain or the SDTM.,
22,SPC,SUPP--,QNAM,"QNAM value cannot contain characters other than letters, numbers, and underscores",,"QNAM value contains only letters, numbers, and underscores and cannot start with a number",SENDIG v3.0,4.2.1,Text,"Values of --TESTCD and QNAM values must be limited to 8 characters, and cannot start with a number, nor can
they contain characters other than letters, numbers, or underscores.",
22,SPC,SUPP--,QNAM,"QNAM value cannot contain characters other than letters, numbers, and underscores",,"QNAM value contains only letters, numbers, and underscores and cannot start with a number",SENDIG v3.1,4.2.1,Text,"Values of --TESTCD and QNAM values must be limited to 8 characters, and cannot start with a number, nor can
they contain characters other than letters, numbers, or underscores.",
21,SPC,SUPP--,QNAM,QNAM value cannot start with a number,,QNAM value cannot start with a number,SENDIG v3.0,4.2.1,Text,"Values of --TESTCD and QNAM values must be limited to 8 characters, and cannot start with a number, nor can
they contain characters other than letters, numbers, or underscores.",
21,SPC,SUPP--,QNAM,QNAM value cannot start with a number,,QNAM value cannot start with a number,SENDIG v3.1,4.2.1,Text,"Values of --TESTCD and QNAM values must be limited to 8 characters, and cannot start with a number, nor can
they contain characters other than letters, numbers, or underscores.",
20,SPC,SUPP--,QNAM,QNAM value limited to 8 characters,,QNAM value length <= 8,SENDIG v3.0,4.2.1,Text,"Values of --TESTCD and QNAM values must be limited to 8 characters, and cannot start with a number, nor can
they contain characters other than letters, numbers, or underscores.",
20,SPC,SUPP--,QNAM,QNAM value limited to 8 characters,,QNAM value length <= 8,SENDIG v3.1,4.2.1,Text,"Values of --TESTCD and QNAM values must be limited to 8 characters, and cannot start with a number, nor can
they contain characters other than letters, numbers, or underscores.",
23,SPC,SUPP--,QNAM,QNAM value must be uppercase because it is subject to the same restrictions as --TESTCD which is required to be uppercase through Controlled Terminology.,,--QNAM value is uppercase,SENDIG v3.0,4.2.1 | 4.3.2,Text,"QNAM serves the same purpose as --TESTCD within supplemental qualifier datasets, and so values of QNAM are
subject to the same restrictions as values of --TESTCD/When extending a controlled terminology list, the case-sensitivity convention of that
list should be followed.",
23,SPC,SUPP--,QNAM,QNAM value must be uppercase because it is subject to the same restrictions as --TESTCD which is required to be uppercase through Controlled Terminology.,,--QNAM value is uppercase,SENDIG v3.1,4.2.1 | 4.3.2,Text,"QNAM serves the same purpose as --TESTCD within supplemental qualifier datasets, and so values of QNAM are subject to the same restrictions as values of --TESTCD | When extending a controlled terminology list, the case-sensitivity convention of thatlist should be followed.",
255,REL,SUPP--,QORIG,"QORIG is used to indicate the origin of the data. Possible values are COLLECTED, DERIVED, OTHER, and NOT AVAILABLE.",QORIG ^= null,"QORIG = ""COLLECTED"" OR QORIG = ""DERIVED"" OR QORIG = ""OTHER"" OR QORIG = ""NOT AVAILABLE""",SENDIG v3.0,8.5,QORIG CDISC Notes,"QORIG is used to indicate the origin of the data. Possible values are COLLECTED, DERIVED, OTHER, and NOT AVAILABLE.",
255,REL,SUPP--,QORIG,"QORIG is used to indicate the origin of the data. Possible values are COLLECTED, DERIVED, OTHER, and NOT AVAILABLE.",QORIG ^= null,"QORIG = ""COLLECTED"" OR QORIG = ""DERIVED"" OR QORIG = ""OTHER"" OR QORIG = ""NOT AVAILABLE""",SENDIG v3.1,8.3,QORIG CDISC Notes,"QORIG is used to indicate the origin of the data. Possible values are COLLECTED, DERIVED, OTHER, and NOT AVAILABLE.",Cited guidance reference updated; no implementation impact.
115,SPC,CO,RDOMAIN,RDOMAIN identifies the domain associated with the comment.  If the comment is a general comment not associated with a specific domain RDOMAIN should be left blank.,Comment is a general comment not associated with a specific domain,RDOMAIN = null,SENDIG v3.0,5.2.1,RDOMAIN CDISC Notes,Domain abbreviation of the parent record(s).  Null for comments collected as a general comment or additional information.,
115,SPC,CO,RDOMAIN,RDOMAIN identifies the domain associated with the comment.  If the comment is a general comment not associated with a specific domain RDOMAIN should be left blank.,Comment is a general comment not associated with a specific domain,RDOMAIN = null,SENDIG v3.1,5.2.1,RDOMAIN CDISC Notes,Domain abbreviation of the parent record(s).  Null for comments collected as a general comment or additional information.,
116,SPC,CO,RDOMAIN,RDOMAIN is a valid domain abbreviation used within the study,RDOMAIN ^= null,RDOMAIN = valid domain abbreviation used within the study,SENDIG v3.0,5.2.1,RDOMAIN CDISC Notes,Domain abbreviation of the parent record(s).  Null for comments collected as a general comment or additional information.,
116,SPC,CO,RDOMAIN,RDOMAIN is a valid domain abbreviation used within the study,RDOMAIN ^= null,RDOMAIN = valid domain abbreviation used within the study,SENDIG v3.1,5.2.1,RDOMAIN CDISC Notes,Domain abbreviation of the parent record(s).  Null for comments collected as a general comment or additional information.,
NEW SEND RULE 338,FND,RE,ALL,"re.xpt, Respiratory - Findings. One record per test per observation time or evaluation interval per subject, Tabulation.",,"re.xpt, Respiratory - Findings. One record per test per observation time or evaluation interval per subject, Tabulation.",SENDIG v3.1,6.3.18.1,Domain Table Header,"re.xpt, Respiratory - Findings. One record per test per observation time or evaluation interval per subject, Tabulation.",New cited guidance.
149,FND,ALL,--REASEX,"--REASEX should only be present when --EXCLFL is ""Y""",--REASEX  ^= null,"--EXCLFL = ""Y""",SENDIG v3.0,6.3.1,BWREASEX CDISC Notes,The reason the result should be excluded from all calculations. Used only when BWEXCLFL is Y.,
149,FND,ALL,--REASEX,"--REASEX should only be present when --EXCLFL is ""Y""",--REASEX  ^= null,"--EXCLFL = ""Y""",SENDIG v3.1,6.3.1,BWREASEX CDISC Notes,The reason the result should be excluded from all calculations. Used only when BWEXCLFL is Y.,
NEW SEND RULE 302,"INT, EVT, FND",ALL,--RECID,"--RECID remains invariant through subsequent versions of the dataset, even if the content of the record is modified.",--RECID ^= null ,'The same value of --RECID is used for that record in current and future version(s) of the domain,SENDIG v3.1,4.2.8,Text,"It remains invariant through subsequent versions of the dataset, even if the content of the record is modified.",New rule identified from cited guidance.
253,REL,RELREC,"RELTYPE, IDVAR, IDVARVAL",RELTYPE is used if IDVAR is --SPID and IDVARVAL is not populated.,IDVAR = --SPID AND IDVARVAL = null,"RELTYPE = ""ONE"" OR RELTYPE = ""MANY""",SENDIG v3.0,8.3.1,RELTYPE CDISC Notes,"RELTYPE: Identifies the hierarchical level of the records in the relationship. Values should be either ONE or MANY, only when --SPID is used. However, values are only necessary when identifying a relationship between datasets.",
